id;name;parent;goal_value;goal_focus;why_achieve_this;road_ahead;what_to_achieve;what_to_learn;why_focus_on_this;goaldone
1;SQL Officer program;50140;integrate;ROI lime monitor;productize;Reduced multi-tasking;Kwanza transmitting Wooden;Practical;Brazil;false
2;back;10480;invoice;Web primary;Extended calculate;Harbor salmon engage;CSS Cotton;interface Villages Group;Home Frozen Developer;false
3;communities Account;53113;Configuration;Fantastic;blue monetize;Assurance SAS;purple;deposit even-keeled Garden;Object-based;true
4;Ariary;51174;Kansas;Executive;Florida;Facilitator B2B bypass;mission-critical Florida;Product extranet;group Robust Fresh;true
5;Guam invoice scalable;16574;SQL pink Loan;Manager Account;Table SSL;Myanmar Shilling Avon;Shoes;Steel streamline JBOD;Oregon;true
6;Re-engineered seize;59682;Wooden transmit Liaison;sexy;Forward;Brand hacking;Developer digital Texas;Dynamic Steel;PCI copying;true
7;redundant payment card;48052;Grass-roots;Product;vertical;holistic Panama;Buckinghamshire;vortals;Fantastic Card;true
8;Soft;15538;Self-enabling black;hack;Response transform IB;Fantastic supply-chains;transmitting Wisconsin;JSON;Awesome Exclusive Ohio;true
9;one-to-one utilize;75004;incentivize bleeding-edge;synthesize systems De-engineered;fresh-thinking;installation;maroon sky;Macao;America orange;true
10;Plastic;22909;benchmark Parkways;withdrawal;Bedfordshire teal Architect;Tasty Gabon Specialist;grey Tugrik Jersey;North Wooden Berkshire;Dollar;true
